movie_id,movielens_title,movielens_genres,tmdb_id,imdb_id,media_type,tmdb_source,tmdb_title,original_title,overview,poster_path,poster_url,backdrop_path,release_date,runtime,vote_average,vote_count,popularity,original_language,tmdb_genres,adult
11,"American President, The (1995)",Comedy|Drama|Romance,9087,0112346,movie,tmdb_movie,美国总统,The American President,女主角悉尼是一个政治观点比总统更激进的说客，为一家从事环境保护游说的咨询公司工作。一次她在白宫善意地挖苦总统，碰巧被总统听到。两人一见钟情，总统借用国宴的机会非正式地公开自己的恋爱新动向。当美国总统遇上心仪的女人，不但要面对媒体的批评，更要处理国家大事，她是一位说服政客鼓吹环保的女人，和总统的一段情使她备受压力，而总统却因其余的国家大事忽略了她的环保提案，这样的组合能有完美的结局吗？,/anxzpKmDoexEo5SBRmUvHRTCz7Z.jpg,https://image.tmdb.org/t/p/w500/anxzpKmDoexEo5SBRmUvHRTCz7Z.jpg,/62BnXyJtVEq4WKNSpnPG7QPYYDI.jpg,1995-11-17,114,6.539,785,2.0680,en,剧情|爱情,f
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12110,0112896,movie,tmdb_movie,吸血鬼也疯狂,Dracula: Dead and Loving It,1893年，英国律师托马斯（彼特•麦尼科 Peter MacNicol 饰）奔赴特兰西瓦尼亚，在当地居民的惊恐中拜见了德古拉伯爵（莱斯利•尼尔森 Leslie Nielsen 饰），并为其代理购买了一座英国修道院。德古拉次日将托马斯蛊惑，使其变成了自己的忠仆。主仆两人来到英国伦敦，德古拉见到了修道院左近精神病院的管理者斯沃德医生，斯沃德医生女儿的美丽朋友露西令德古拉心怀吸血念头，同时，托马斯因为吞食昆虫被斯沃德医生控制在精神病院中失去自由。德古拉吸食露西血液得逞，后者陷入昏迷，焦急的斯沃德医生请来医学院教授范海辛（梅尔•布鲁克斯 Mel Brooks 饰）相助，才知道吸血鬼来袭的真相。范海辛率众人与德古拉及其仆人展开了一场拉锯式的吸血攻防战……,/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,https://image.tmdb.org/t/p/w500/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,/rLUTSWHmphMe0wH0WSFxcywzOHW.jpg,1995-12-22,88,6.072,1112,2.0956,en,喜剧|恐怖,f
13,Balto (1995),Adventure|Animation|Children,21032,0112453,movie,tmdb_movie,雪地灵犬,Balto,一只半狼半犬的狼狗贝托，于19世纪末在阿拉斯加受到人们及爱斯基摩犬的排挤。不晓得自己属于何种族群的贝托，身边只有四位好朋友：美丽的爱斯基摩犬珍娜、聒噪却善良的企鹅波利斯、害羞可爱的北极熊木克及路克。虽然贝托的“杂种”身分与他们格格不入，但他的好友在意的并不是他的外型,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,/hljMglukfpnfaNmUgMuORmL4OVW.jpg,1995-12-22,78,7.321,2206,3.4714,en,冒险|动画|剧情|家庭,f
14,Nixon (1995),Drama,10858,0113987,movie,tmdb_movie,尼克松,Nixon,　　影片试图从客观的立场出发探讨因水门丑闻而下台的美国总统理查德·米尔豪斯·尼克松的政治生涯。虽然也涉及到他的童年和早期从政的经历，但重点是在水门事件。当影片中一个女学生当面问总统：“为什么你作为总统制止不了越南战争？是不是因为这个制度？”尼克松似有所悟，他对手下人说：“她懂得我花了二十五年时间搞政治才懂得的事情……”,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,https://image.tmdb.org/t/p/w500/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,/zAaFQHZV23SJgSwRBvW5PeD219H.jpg,1995-12-22,192,6.850,401,2.1432,en,剧情|历史,f
15,Cutthroat Island (1995),Action|Adventure|Romance,1408,0112760,movie,tmdb_movie,割喉岛,Cutthroat Island,活跃于加勒比海上的哈里、道格（Frank Langella 饰）、莫迪三兄弟各保存着一份藏宝图的三分之一，道格欲独占宝藏将哈里重伤致死。哈里之女摩根（Geena Davis 饰）接管晨星号海盗船，继承了父亲复仇与寻宝的遗愿。摩根取下父亲头皮上的藏宝图，却因无法辨识图上的拉丁文而登陆求助，适逢惯偷肖（Matthew Modine 饰）被官方贩卖为奴，摩根依赖肖的翻译能力把他买下，并且很快在官军对自己的追捕中展现了悍女本色。摩根等人寻至莫迪处，不料道格意外出现，混乱中莫迪身死，而肖将第二张藏宝图占为己有。摩根惩治了肖的不忠，但却无法摆脱尾随的道格，最终船员叛变，摩根失去了晨星号，虽然肖协助摩根发现割喉岛宝藏所在，但是在道格和官军的围堵下，取得宝藏谈何容易？,/yV3B0qIwf2jFsqzoA7dwo8hJZZz.jpg,https://image.tmdb.org/t/p/w500/yV3B0qIwf2jFsqzoA7dwo8hJZZz.jpg,/hHoIQVAmTg4RM7PPNhNvMlJk3mg.jpg,1995-12-22,124,5.804,622,2.3188,en,动作|冒险,f
16,Casino (1995),Crime|Drama,524,0112641,movie,tmdb_movie,赌城风云,Casino,萨姆·“埃斯”·罗思坦（罗伯特·德尼罗 Robert De Niro 饰）抱着“赌博是一桩需要认真对待的事业”这个信念经营这一家拉斯维加斯的赌场。这个信念使他的赌场生意兴隆，而也让他成为富四一方的大亨。但是自从他娶了妓女出身的金姬（莎朗·斯通 Sharon Stone 饰）后，一切都发生了改变。金姬是个贪得无厌，嗜好酒和毒品的美丽女人，对前男友旧情不忘甚至给他送钱；黑社会老大派来保护萨姆的尼基（乔·佩西 Joe Pesci 饰）总是触犯法律，被警方禁止踏足赌场，还不量力要当老板；萨姆开除了不负责任的雇员却得罪了当地的官员；更糟糕的是，萨姆和昔日的合作伙伴间的摩擦加剧。所有的一切，都使萨姆心神不宁……,/9gzACVmDnQed5hSrNguM4L5hsxQ.jpg,https://image.tmdb.org/t/p/w500/9gzACVmDnQed5hSrNguM4L5hsxQ.jpg,/iZGiMD0p1M2AOmzKknFo5bkuz94.jpg,1995-11-22,179,7.998,6572,10.4954,en,犯罪|剧情,f
17,Sense and Sensibility (1995),Drama|Romance,4584,0114388,movie,tmdb_movie,理智与情感,Sense and Sensibility,达什伍德夫人与她的女儿们——埃丽诺、玛丽安及尚在豆蔻年华的假小子玛格丽特，在父亲去世后惨遭驱逐，失去了家园与遗产继承权。法律规定，宏伟的诺兰庄园必须传予他与前妻所生之子、即姑娘们的异母兄长约翰，而约翰的人生伴侣是那位表面优雅却精于算计的范妮。正当贫困的达什伍德一家即将陷入更深窘境时，达什伍德夫人的表亲约翰·米德尔顿爵士伸出援手，将她们安置于自己广阔的德文郡庄园内一处名为巴顿小屋的新居。,/eIrbkRa3ydxLRb6tqXUPQgLzhIz.jpg,https://image.tmdb.org/t/p/w500/eIrbkRa3ydxLRb6tqXUPQgLzhIz.jpg,/cFnyfWHL6HjOOVal6lp8e5gqibK.jpg,1995-12-13,136,7.400,1847,5.3101,en,剧情|爱情,f
18,Four Rooms (1995),Comedy,5,0113101,movie,tmdb_movie,四个房间,Four Rooms,"在一家古旧的旅馆内，员工们都去欢度新年假期，只有一个小侍应生（Tim Roth 蒂姆•罗素 饰）留守。当夜，光怪陆离的事件轮番上演：
 1. 一群女巫准备在当晚复活他们的女神，而她们却弄丢了至关重要的精液，小侍应生临时客串，勇敢献身……  2. 善妒的丈夫怀疑妻子与他人有染，遂将妻子绑在椅子上，倒霉的侍应生则被当作奸夫，手枪抵头，命悬一线……
 3. 富翁夫妻参加新年宴会，将子女留在房间中。两个淘气的小家伙展开了一场大战，却看到了恐怖的一幕……
 4.几名好莱坞演员凑在房间中玩打火机游戏，每人打十下，十下连续打着就会赢得一部跑车，反之有一下不着便要切掉一根手指。侍应生被临时找来充当刽子手……",/eznrQyErtHMY5Z1s1amF9P70A0z.jpg,https://image.tmdb.org/t/p/w500/eznrQyErtHMY5Z1s1amF9P70A0z.jpg,/c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg,1995-12-09,98,5.907,2857,3.5378,en,喜剧,f
19,Ace Ventura: When Nature Calls (1995),Comedy,9273,0112281,movie,tmdb_movie,神探飞机头2,Ace Ventura: When Nature Calls,浣熊行动的失败，使得艾斯·文图拉（金·凯瑞 Jim Carrey 饰）决定前往喜马拉雅山深处进行修行，锻炼自己避免再出现浣熊行动这样的事情出现。时间过得很快，一天艾斯突然收到邀请。非洲瓦查蒂族的神物——一只白色大蝙蝠不知所踪。他们希望艾斯重出江湖，帮他们找回这只白蝙蝠。一踏上非洲大陆，艾斯就立马展开了侦查工作。首先，艾斯将怀疑对象锁定在了野生动物园园长身上，可是却苦苦无法找到证据，只好作罢。接着他又怀疑是部落巫师偷走的，但是也是毫无头绪。在笑料百出的调查过程中，艾斯发现白蝙蝠原来在两个盗猎者手上，而其幕后首脑居然是大使。原来，为了独占蝙蝠粪这一稀有资源，他不惜挑起部族之间的矛盾，以此来从中渔利。最终，艾斯借助动物们的帮助，将白蝙蝠完璧归赵。,/sErewZuIq5tiELdDlKDj7jbhMTk.jpg,https://image.tmdb.org/t/p/w500/sErewZuIq5tiELdDlKDj7jbhMTk.jpg,/h5Y9T4OoFpMrONhVBZvN2X2DfAB.jpg,1995-11-10,90,6.338,4585,4.4716,en,犯罪|喜剧|冒险,f
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,11517,0113845,movie,tmdb_movie,银线风暴,Money Train,约翰与查理同属纽约地铁的特警，两人情同手足，为帮助查理戒赌，约翰可没少劳心费力。因工作关系他们对地铁的保安环境十分熟悉，两人经常想象出不同的方法去打劫运钞列车。约翰一直把这当成是一种游戏，但查理却认为这是他唯一能脱离赌徒生涯的途径。当新调任的女警姬丝爱上了约翰而非查理时，失落的查理终于铤而走险，跳上了运钞列车……,/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,/gyaBJn7eR8Ol205wmT2Xpi6IuhA.jpg,1995-11-21,110,5.864,876,3.1142,en,动作|喜剧|犯罪,f
21,Get Shorty (1995),Comedy|Crime|Thriller,8012,0113161,movie,tmdb_movie,矮子当道,Get Shorty,迈阿密放贷人奇利·帕尔默被派往洛杉矶，向电影制片人哈里·齐姆追讨赌债。奇利很快发现，放贷生涯简直是进军电影圈的完美训练营……尽管想在好莱坞混出名堂，同样需要心狠手辣。[米高梅],/7knssyntbpH143PrVFGOQ59ZsUz.jpg,https://image.tmdb.org/t/p/w500/7knssyntbpH143PrVFGOQ59ZsUz.jpg,/wiZT8DVmAZNwmqd8G3QjWZ1mpLB.jpg,1995-10-20,105,6.504,1217,3.2926,en,喜剧|惊悚|犯罪,f
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710,0112722,movie,tmdb_movie,凶手就在门外,Copycat,犯罪心理学家海伦.赫德森干得太出色了：在别人看来毫无线索的情况下她能分析出杀人凶手的活动规律、作案手法甚至下一个目标。所以她才被惊扰全城的连环杀手忌恨，险遭杀害。现在她已足不出户，终日与电脑为伴。而一心想破这个连环凶杀案的女警探在无计可施的情况下来找海伦相助，并最终说服她出山。海伦做了大量分析工作后发现，凶手是在模仿古今中外着名的杀人事件，这次要想准确推断出谁是下一个目标真是难上加难，因为这样的事件真是浩如烟海，从中找出必然的联系几乎可以说是不可能的。当海伦借助电脑，从作案细节上有所发现时，凶手已经站到了他们门外。,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg,/f0wTYitK1lELuGygXslG7SQpY0E.jpg,1995-10-27,121,6.476,1295,2.2456,en,惊悚|犯罪|悬疑,f
23,Assassins (1995),Action|Crime|Thriller,9691,0112401,movie,tmdb_movie,刺客战场,Assassins,　　身为一名杀手，罗伯特（西尔维斯特·史泰龙 Sylvester Stallone 饰）有着自己不可动摇的原则，那就是除了任务目标外，决不滥杀无辜。尽管与罗伯特是同行，但米高（安东尼奥·班德拉斯 Antonio Banderas 饰）的生死观却和罗伯特大相径庭，他不仅为了达成目的不择手段，更是将业内“德高望重”的罗伯特视作眼中钉肉中刺，欲除之而后快。  　　充满了杀戮的生活令罗伯特感到厌倦，他决心再干最后一票，从此金盆洗手。很快，技术高超的罗伯特便捉住了目标任务——一名叫伊莉（朱丽安·摩尔 Julianne Moore 饰）的女贼，不幸的是，此时的伊莉和她手中价值两百万美元的磁盘亦成为了米高的猎物。随着时间的推移，罗伯特渐渐的爱上了伊莉，与此同时，残暴的米高也离他们越来越近。 ©豆瓣,/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,https://image.tmdb.org/t/p/w500/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,/sYpmWBe1IO7Fxthtw3UmlzQEylK.jpg,1995-10-06,132,6.500,1718,2.7586,en,动作|冒险|犯罪|惊悚,f
24,Powder (1995),Drama|Sci-Fi,12665,0114168,movie,tmdb_movie,闪电奇迹,Powder,"Jeremy Reed的母亲在怀孕时不幸遭到电击，导致Jeremy——大家都叫他Powder——是一个拥有超能力的白化病患者。十六年来，家人为了保护 Powder，将其软禁在祖父母家的地下室里。随着祖父母的去世，Powder也被人们发现并带到太阳底下。一开始Powder的出现引起了镇上居民的敌意，在学校里也有小混混捉弄欺负他，但随后Powder的老师便发现其智商奇高，而且Powder  电影《闪电奇迹》剧照
 运用自己的超能力造福居民：包括减轻了一位警官妻子临终的痛苦，以及亲身经历般向猎人描述一头鹿被射杀的痛苦，内向温柔的Powder甚至获得了一位名叫Linsey的女孩的好感。
 鲍德的母亲在生产前不幸遭到电击，因为基因突变的缘故，使得他患有异于常人的白子症与超能力，为了保护他免于外界的嘲笑，二十年来一直将他软禁在农舍的地下室，因此鲍德从未与外界有过任何接触，随着亲人相继过世，警方与社工人员发现了鲍德，面对残酷的外界社会，鲍德该何去何从呢？对未来他又会作出何种决定？当人类进化到一定程度时， 是不需要用肉体或言语去建购防卫武力的， 因为心灵力量自然超越一切。《闪电奇迹》就是一部基于上述理想所建构的科幻片，而我也确实感受到了前所未有的强大心灵力量。主角是一名拥有心智高度发展的人类，因为读心能力他不需要亮丽的  电影《闪电奇迹》剧照
 外表与外界进行沟通，也由于外在的缺陷(白子、吸电体)让他更能轻易接触人性的黑暗， 人类很自然的会用行动排除异己， 用谎言保护自己，主角深明人性中的罪恶却又挥之不去是十分痛苦的，然而这世界并不被进化的人类主宰， 世事太浑沌不明、黑白不分，这是值得深思的。",/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,https://image.tmdb.org/t/p/w500/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,/gAeFtnwgF4asNVbmrudWMHOilWj.jpg,1995-10-27,111,7.030,724,3.5184,en,剧情|奇幻,f
25,Leaving Las Vegas (1995),Drama|Romance,451,0113627,movie,tmdb_movie,离开拉斯维加斯,Leaving Las Vegas,被解雇后，酗酒编剧拿着最后的遣散费前往拉斯维加斯，计划用酒精了结生命。在那里，他遇上了一名需要被需要的妓女。,/wxtZqarfgyT1f9eezacvCLQUTAq.jpg,https://image.tmdb.org/t/p/w500/wxtZqarfgyT1f9eezacvCLQUTAq.jpg,/uqYjy4MwB4vZScpUPGdINVaSeTd.jpg,1995-10-27,111,7.254,1660,3.2909,en,剧情|爱情,f
26,Othello (1995),Drama,16420,0114057,movie,tmdb_movie,奥赛罗,Othello,,/kyevuYzW36wKadiE8lftLac5VwQ.jpg,https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg,/7SqIfSVW3xKTk07FbUm4LrhOOeL.jpg,1995-12-15,123,6.361,151,1.0137,en,剧情,f
27,Now and Then (1995),Children|Drama,9263,0114011,movie,tmdb_movie,童年的约定,Now and Then,"克里斯（丽塔·威尔逊 Rita Wilson 饰）、罗伯特（罗茜·欧唐内 Rosie O'Donnell 饰）、蒂娜（梅兰尼·格里菲斯 Melanie Griffith 饰）和萨曼莎（黛咪·摩尔 Demi Moore 饰）是出生成长在同一个小镇的四位好友，彼此之间感情十分亲密。长大成人之后，她们分道扬镳走上各自不同的人生道路。
 　　一晃眼多年过去，时间早已经将四个姑娘磨砺成为了完全不同的人，四人约定回到曾经的小镇上。克里斯是四人里唯一选择留在小镇的女孩，如今，她是一名标准的家庭主妇，正在准备迎接她的孩子的出世。向来特立独行桀骜不驯的罗伯特成为了一名医生。而蒂娜终于实现了梦想当上了万众瞩目的女演员。萨曼莎则成为了前途无量的作家。",/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,/ic529Vlnxmp2ArVSYr5vBLoNFEK.jpg,1995-10-20,102,6.875,480,2.2289,en,喜剧|剧情|爱情,f
